original_row_index,doi,anion_name,composition_summary,cluster_id,conductivity,best_predicted_conductivity_ms_cm,best_abs_error_ms_cm,q_scale_opt,weighted_permittivity,weighted_viscosity_mpa_s_25c,salt_conc_x_weighted_permittivity,salt_conc_x_weighted_viscosity,temperature,anion_tfsi,split,true_q_scale,predicted_q_scale,residual_q_scale
106,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,3.307854125,3.3381274871353197,0.030273362135319726,0.8,46.05,1.245,46.05,1.245,253.4239726,0,test,0.8,0.7884615384615384,-0.011538461538461608
107,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,4.071672861,4.001795062921328,0.06987779807867156,0.7,46.05,1.245,46.05,1.245,258.3554795,0,test,0.7,0.7884615384615384,0.08846153846153848
108,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,4.838902914,4.244080221679584,0.5948226923204158,0.7,46.05,1.245,46.05,1.245,263.2869863,0,test,0.7,0.7241279069767458,0.024127906976745828
109,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,5.818420512,4.736361431412955,1.0820590805870456,0.7,46.05,1.245,46.05,1.245,268.2184932,0,test,0.7,0.7241279069767458,0.024127906976745828
110,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,6.715351084,5.227175861843264,1.4881752221567357,0.7,46.05,1.245,46.05,1.245,273.15,0,test,0.7,0.7241279069767458,0.024127906976745828
111,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,7.705930369,5.766686212125698,1.9392441568743015,0.7,46.05,1.245,46.05,1.245,278.2184932,0,test,0.7,0.7241279069767458,0.024127906976745828
112,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,8.7903169,6.429824577831504,2.360492322168496,0.7,46.05,1.245,46.05,1.245,283.15,0,test,0.7,0.7241279069767458,0.024127906976745828
113,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,9.795252881,6.875180435391672,2.9200724456083273,0.7,46.05,1.245,46.05,1.245,288.0815068,0,test,0.7,0.7241279069767458,0.024127906976745828
114,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,10.91507623,7.545534877756228,3.3695413522437727,0.7,46.05,1.245,46.05,1.245,293.0130137,0,test,0.7,0.7241279069767458,0.024127906976745828
115,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,12.09193518,8.206688249916558,3.885246930083442,0.7,46.05,1.245,46.05,1.245,297.9445205,0,test,0.7,0.7241279069767458,0.024127906976745828
116,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,13.31856972,8.725590428753687,4.592979291246312,0.7,46.05,1.245,46.05,1.245,303.0130137,0,test,0.7,0.7241279069767458,0.024127906976745828
117,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,15.68921029,9.589620572160833,6.099589717839168,0.7,46.05,1.245,46.05,1.245,312.8760274,0,test,0.7,0.7241279069767458,0.024127906976745828
118,10.1016/j.jpowsour.2011.06.030,PF6,EC:0.500+DMC:0.500,1,16.97859662,9.99058765361072,6.98800896638928,0.7,46.05,1.245,46.05,1.245,317.8075342,0,test,0.7,0.7241279069767458,0.024127906976745828
124,10.1016/j.jpowsour.2011.07.071,TFSI,EC:0.500+DMC:0.500,1,9.313333333,8.27542622537812,1.03790710762188,0.7,46.05,1.245,46.05,1.245,298.0,1,test,0.7,0.8083333333333329,0.10833333333333295
