Dielectric_constant,Dipole_moment_Gaussian,Dipole_moment_MD,correction_factor,correction_factor_fit,residual,abs_error
2.0,9.13,11.987574,0.761621992906989,0.7493647920659425,0.012257200841046423,0.012257200841046423
2.5,9.5825,12.16877,0.787466605088271,0.7879681555868556,-0.0005015504985845798,0.0005015504985845798
3.0,10.0473,12.300599,0.816813880364688,0.8160334166749778,0.0007804636897102979,0.0007804636897102979
3.5,10.3313,12.393506,0.833605922327387,0.8373574350500985,-0.0037515127227115697,0.0037515127227115697
4.0,10.5635,12.475727,0.84672420292621,0.8541086413294743,-0.007384438403264304,0.007384438403264304
4.5,10.7696,12.553363,0.857905566819027,0.8676155129319159,-0.00970994611288889,0.00970994611288889
5.0,10.9387,12.617532,0.86694450230045,0.8787373673443656,-0.011792865043915635,0.011792865043915635
5.5,11.0808,12.671943,0.874435751486571,0.8880546685306253,-0.013618917044054268,0.013618917044054268
6.0,11.2134,12.726842,0.881082675497975,0.8959736511290944,-0.014890975631119407,0.014890975631119407
6.5,11.3482,12.788014,0.887409100427948,0.9027871273876975,-0.015378026959749547,0.015378026959749547
7.0,11.502,12.863996,0.894123412351807,0.9087114893719264,-0.014588077020119328,0.014588077020119328
7.5,11.6684,12.950699,0.900986116656715,0.9139101127821506,-0.0129239961254356,0.0129239961254356
8.0,11.7897,13.013932,0.905929122727858,0.9185086562242997,-0.012579533496441697,0.012579533496441697
8.5,12.5804,13.432825,0.936541643325213,0.9226053515619006,0.013936291763312347,0.013936291763312347
9.0,12.6464,13.466428,0.939105752468286,0.9262780995707588,0.012827652897527186,0.012827652897527186
9.5,12.7152,13.504628,0.941543891471872,0.9295894710833514,0.01195442038852057,0.01195442038852057
10.0,12.7706,13.533089,0.943657431056575,0.9325903011064142,0.011067129950160792,0.011067129950160792
10.5,12.8269,13.562173,0.945785015424888,0.9353223170563749,0.010462698368513101,0.010462698368513101
11.0,12.8727,13.585114,0.947559218126546,0.9378200909629671,0.009739127163578831,0.009739127163578831
11.5,12.9141,13.605597,0.949175548856842,0.9401125101710751,0.009063038685766855,0.009063038685766855
12.0,12.9463,13.618992,0.950606329748927,0.9422238996235879,0.008382430125339124,0.008382430125339124
12.5,12.9878,13.640806,0.952128488595175,0.9441748883672372,0.007953600227937785,0.007953600227937785
13.0,13.0215,13.656499,0.953502065207196,0.9459830858018218,0.007518979405374271,0.007518979405374271
13.5,13.0605,13.681517,0.954609053952131,0.9476636146888425,0.0069454392632885,0.0069454392632885
14.0,13.0781,13.68192,0.955867305173543,0.9492295351099991,0.006637770063543935,0.006637770063543935
14.5,13.1097,13.696259,0.957173780081116,0.9506921845466904,0.0064815955344256215,0.0064815955344256215
15.0,13.1305,13.704497,0.958116157054141,0.9520614528235684,0.006054704230572638,0.006054704230572638
15.5,13.1563,13.717254,0.959105955171494,0.9533460060207531,0.005759949150740851,0.005759949150740851
16.0,13.1745,13.725015,0.959889661322774,0.9545534700735059,0.005336191249268096,0.005336191249268096
16.5,13.1948,13.73481,0.960683111015005,0.9556905822800745,0.004992528734930501,0.004992528734930501
17.0,13.2117,13.7403,0.961529224252746,0.9567633170767694,0.00476590717597658,0.00476590717597658
17.5,13.2282,13.748144,0.962180786002823,0.9577769910388979,0.004403794963925067,0.004403794963925067
18.0,13.2498,13.759959,0.962924380806658,0.9587363510034311,0.004188029803226856,0.004188029803226856
18.5,13.2678,13.769536,0.963561880371278,0.9596456483960742,0.003916231975203743,0.003916231975203743
19.0,13.2782,13.771742,0.964162703599879,0.9605087022183215,0.00365400138155747,0.00365400138155747
19.5,13.2933,13.77852,0.964784316457791,0.9613289526629323,0.003455363794858668,0.003455363794858668
20.0,13.3027,13.780749,0.965310376090588,0.9621095069452175,0.003200869145370544,0.003200869145370544
